message,true_sentiment,bert_sentiment
'you can dance if you want but no scientist told you there is no global warming'  to  ,pro,neutral
which exception louise? the white supremacist? the climate change denier? #bbcqt,pro,pro
".’s executive order undermining climate change initiatives is not only foolish, it’s dangerous policy. ",pro,pro
curious does anyone wanna discuss climate change or global warming currently or only during the summer to fit narraâ€¦ ,neutral,neutral
donald trump has tweeted climate change skepticism 115 times. here's all of it: ,pro,pro
"reminder: network evening newscasts this yr spent 125 mins on clinton emails, 0 mins on climate change;ã¢â‚¬â¦",pro,pro
"that climate change story you've always wanted to tell? 
now's the time. #climateaction film contest. ",pro,pro
very interesting experiment about music art and communication about climate change. super. #masaiforabetterclimate,pro,neutral
the cost of climate change is minimal compared to your attacks on working pols wages and conditions,anti,neutral
global warming is real and it's affecting me personally,pro,pro
she's thinking about how she's going to die because your husband doesn't believe in climate change ,pro,pro
friendly reminder that climate change is real and cannot be ignored,pro,pro
the left and right agree: fox news destroyed epa chief scott pruitt over climate change ,pro,pro
i know global warming is real but tbh i think itâ€™s nowed in louisiana twice this year bc everyone misses my damn yankee ass,pro,neutral
combat climate change by regulating animal agriculture ,pro,pro
$v #treeh:here's one effective solution to climate change: put a price on carbon.  ,pro,pro
"naming cyclones after climate change deniers or fossil fuel shills should be a thing
#cyclonedebbie",pro,pro
â€˜silver bulletâ€™ to suck co2 from air and halt climate change ruled out  ,pro,pro
icymi: scott pruitt says carbon dioxide not a major cause of global warming  #actonclimate ,pro,pro
"meteorologist: accepting climate change ‘doesn’t make you liberal, it makes you scientifically literate’ ",pro,pro
sunday fun: go through your contacts &amp; invite climate change denying folks to a picnic in the 40° heat today.,pro,pro
yep. excuse me for being more bothered about his complete disregard for global warming than that he can't get some… ,pro,pro
that's what may happen to arctic #peatlands in times of climate change with melting ice shields and rising temperat… ,pro,pro
this is what global warming has done to polar bears. ,pro,pro
$q$friends$q$ of science. lmao.  ,pro,anti
great to be part of discussion on climate change action today with   …,pro,pro
trump has pushed an abhorrent agenda riddled with climate change-denying policy; how far has this pushed us back?…,pro,pro
denying climate change is in the functionality of young adults to previous generationsâ€”because of climate change:,neutral,pro
the american public understands that climate change is real and caused by humans. it's time to #actonclimate.ã¢â‚¬â¦ ,pro,pro
"tonight will be #earthhour, let's fight the climate change! at 20:30 turn off the light for one hour, let's win... ",pro,pro
and  should schedule a time in nc to have a civil debate on climate change.,neutral,neutral
'you and your friends will die of old age and i'm going to die from climate change.' ,pro,pro
"the only climate change we all need to be concerned with is when we meet face 2 face with christ.
amos 4:12 -'...pr… ",anti,pro
climate change priority in ±pope speech with obama,neutral,pro
"grade 5c sts. listened attentively to a video about global warming. then, in groups, they did a miã¢â‚¬â¦ ",neutral,neutral
concussions are to the nfl what climate change is to fossil fuel industry. ,pro,pro
since the epa was ordered to remove climate change... ,pro,pro
you are an enemy to this planet and a lack of the coal and oil industry that denies global warming is a fact not a theory.,pro,pro
"not the key takeaway but it's truly good that even trump aides have to say manmade climate change is real, even if they d…",pro,pro
the absolute worst part about climate change is that itã¢â‚¬â„¢s november 10th and iã¢â‚¬â„¢m still getting mosquito bites,pro,pro
latest reminder that solving climate change would be incomparably less expensive than living with it ,pro,pro
don't ignore young people – we're key to fighting climate change via  ,pro,pro
"can't imagine he has a very realistic view of climate change, since he likes to rule for big business.",pro,pro
global warming is real and she's here,pro,pro
"pence doesn't believe in climate change, evolution or that some ppl are born gay. can't he just not believe he saw hamiltã¢â‚¬â¦",pro,pro
more risks due to climate change in ch hence is our ndc really sufficient? #climatechangeisreal #globalgoals ,pro,pro
"nah, probably just a symptom of unchecked #climate change…",pro,pro
i wonder if 'donald trump doesn't have the guts to fight global warming because he's afraid of fossil fuel companies' woulã¢â‚¬â¦,pro,pro
would the world have been in a better position to face climate change if scarcity were not an issue?,pro,pro
finally we have a president who wants to do something about climate change. obama is doing something right 🙌🏼,pro,pro
global climate change to be ignored in order to give temporary support to racist conman and putin puppet,pro,pro
i've heard he causes global warming.,neutral,neutral
take $$. put $$ into groups to depose putin. best plan to combat climate change ever. do i win? ,neutral,neutral
"when will ppl understand that global warming, deforestation, &amp; consumption of animal products is a bigger threat to the earthã¢â‚¬â¦",pro,pro
didn't the liberals say man made disasters (islamist terrorism) is as a result of climate change (global warming/co… ,anti,anti
envdefensefund: why is pres trump attacking climate change efforts that the epa has been working on for decades? ,pro,pro
itâ€™s extremely cold in ny &amp; njâ€”not good for flood victims. where is global warming?,pro,pro
did you know that the consumption of beef has an unexpected effect on climate change?,pro,pro
this is reverse global warming this is global cooling man,neutral,neutral
do u apply that to abortions? global warming/ climate change is soooo exaggerated,anti,anti
she's thinking about how she's going to die because your husband doesn't believe in climate change ,pro,pro
"defense secretary james mattis knows that the issue of climate change is real, serious, and urgent. #actonclimate ",pro,pro
#cop22 events w/ the common narrative that renewables are the solution to climate change ,pro,pro
"as temperatures rise globally because of climate change, warm winters are causing trouble for farmers. ",pro,pro
how climate change could make extreme rain even worse  by #time via,pro,pro
"long list of things more serious and immediate than climate change: e.g. putin, gene drives, pakistan/india nuclear war.",anti,pro
she's thinking about how she's going to die because your husband doesn't believe in climate change ,pro,pro
"given the crises we face - income inequality, climate change, student debt - this moment in history is not the time for…",pro,pro
"man controlled climate change is a conspiracy, ok!",anti,anti
"except if it involves climate change, trans kids, adding sweet notes of coal ash to river water or anything that do…",pro,neutral
"spot on article!!!!

rt : why we’re all everyday climate change deniers | alice bell ",pro,pro
#adoftheday: al gore's stirring new climate change ad calls on world leaders.  ,pro,pro
#globalwarming #tcot the climate change inquisition begins: if the company later contradict...  #uniteblue #cc :-(,anti,pro
and the us only wants to deny global warming ,pro,pro
"ban ki-moon at : no country, however resourceful or powerful, is immune from the impacts of climate change.ã¢â‚¬â¦",pro,pro
puffins are now becoming seriously endangered due to the effects of climate change reducingâ€¦ ,pro,pro
"when all is said and done, perhaps it should be the president's views on climate change that worry us most.â€¦ ",pro,pro
the choice we face on climate change.  ,pro,pro
"who would win, climate change or one dutchie boi",neutral,neutral
"this is climate change, mr. president. it affects us all whether or not you believe in it.",pro,pro
you can actually the climate change!,neutral,neutral
hey trump are you still going to deny climate change when the rising sea level engulfs your southern white house,pro,pro
she's thinking about how she's going to die because your husband doesn't believe in climate change ,pro,pro
what climate change ?,neutral,neutral
"portraits of the lives affected by flooding, bringing home the impact of climate change:  ",pro,pro
guys in florida itâ€™s 29 degrees and georgia has record snow. but donâ€™t worry global warming isnâ€™t real because itâ€™s â€œcoldâ€â€¦,pro,pro
it's the beginning of november n i'm wearing jeans n a t shirt n sweating but y'all still think global warming doesn't exist ã°å¸ï†â¸ã¢ëœâ€¢ã¯â¸ï†,pro,pro
hard to imagine any better time to have a national conversation about grappling with the causes of climate change. ,pro,pro
"it's not too soon to talk about climate change in light of #hurricaneharvey, it's too late. climate change makes storms more…",pro,pro
"climate change may have been accelerated by the terrible whale culls of the 20th century, #opwhales ",neutral,pro
"a question on climate change got 1min 32sec. asked, do you believe in #climatechange, trump says: there is cooling and tâ€¦",neutral,neutral
obama thinks global warming isn't real? ,neutral,anti
"so climate change rapes women, wtf are you people insane. no criminals do that, the media today has some serious mental issues",anti,pro
"blajar itu pake buku, buku itu dari kertas, kertas dari kayu. mari kita dukung anti global warming dengan tidak blajar menggunakan buku.hehe",neutral,neutral
millennials to : are you brave enough to stand up to trump on climate change &amp; #saveourfuture?…,pro,pro
listen to ur soundcloud? haha not until u admit climate change is real buddy,pro,pro
smart observations on hurricane irma and climate change. hint: theoryirma was warming-caused is bosh -&gt; ,anti,anti
"'disappearing yosemite glacier becomes symbol of climate change'
#climatechangeisreal #resist #notalternativefacts…",pro,pro
hmmm. excellent question. #worstpresidentever #nobama #norefugees  ,anti,neutral
can$q$t wait to hear you call climate change a corporate hoax,neutral,pro
"reporting new fossil fuel finds without mentioning their climate change impacts if developed is irresponsible, out-dated e…",pro,pro
"the story of climate change can be seen and felt on the reef - in acidifying oceans, bleaching coral, increasing sa…",pro,pro
"�� namikawas: weavemama: maybe gangster whales is what we need in order to fight climate change whales,... ",neutral,neutral
some politicians still refuse to recognize the reality of climate change. it's 2017. that's a disgrace.,pro,pro
the fallacy of global warming . . .,neutral,anti
the scientists who spent years warning us about global warming watching weather reports like; ,neutral,neutral
"not only does donald trump refuse to accept settled science and address climate change, but his administration is taking sysâ€¦",pro,pro
perry is the same guy who banned the phrase 'climate change' from the dept of energy. i wish this administration waâ€¦ ,pro,pro
"headlines
russia strikes in syria
china hacks us
turkey downs russian drone
palestinians attack israel
america mad at …",neutral,neutral
.  leads by example when traveling to climate change meetings. cc  -- #cdnpoli ,pro,neutral
trump administration gouging out their eyes &amp; cutting off their ears to evidence on climate change says  ,pro,neutral
the only global warming is all the b.s. from the potus hot air he's blowing out his pie hole and…,anti,anti
they could have used the question  formulation  technique  to ask more of the  s… ,neutral,neutral
most center-right parties agree w/ 'the left' on climate change. even france's national front. gop's an outlier. ,pro,pro
"ppl who deny climate change, 'if i was a a scientist i'd be absolutely pissed every day of my life'  #preach",pro,pro
"can't believe how some american's, including  don't even believe climate change is a thing! everyonã¢â‚¬â¦",pro,pro
"rain drop
drop top

now that i got your attention, we need to work together to end global warming.",pro,pro
"shorten now telling us more on huge climate change being greatest challenge of our time.

been there haven$q$t we?",neutral,pro
we've a few short term opps working on climate change &amp; energy. send us your cv or q's to environment.gov.uk #h…,neutral,pro
"how ironic, while big data revolution is accelerating the drought in local data on trends in climate change and sdg… ",neutral,neutral
"surprised blades fans haven't been blamed for global warming yet 
#sheffutdfansareadisgrace",neutral,neutral
#u.s. environmental agency chief #humans #contribute global warming ,pro,pro
it’s an international embarrassment that our science space &amp; tech cmte is run by anti-science climate change deniers htt…,pro,pro
great morn with   re boosting progressive student life &amp; climate change activism! ,pro,pro
so many people actually don't believe in climate change !!!??ã‚â¿? it's alarming ??!!ã‚â¡ã‚â¡!!!!,pro,pro
"it's 90 degrees in early november in los angeles, but you know ....according to trump global warming and climate changeã¢â‚¬â¦",pro,pro
"�� 

new coalmines will worsen poverty and escalate climate change

 
#climate #coal…",pro,pro
#videos of big bootty sexy girls having sex global warming sex ,neutral,neutral
according to some ppl climate change isn't real though. ,pro,anti
this and global warming are the two biggest leftwing tropes in history. ,anti,anti
power generation is a leading cause of air pollution and the single largestsourceâ of u.s. global warming emissions.â coalâ is thâ€¦,pro,pro
"we're also paying you to do nothing but deny climate change every now and then. you're a grade a moron, sammy.

",pro,pro
better z to initiate a campaign from urside to aware people about climate change and help us to save our environment....,pro,pro
sending our love to fellow canadians who have been displaced or affected by the wildfires in fort mcmurray. climate change…,pro,pro
"great paper - cc attention is usually on av. global temp, but 'climate change most often affects people with specif… ",pro,pro
prof. alcamo: $q$above 2°c we begin to lose the race against climate change$q$. watch:  #sb42 ,pro,pro
"uo psychology professor paul slovic provides expert commentary. 

from skiing to climate change â€“ what the winter oâ€¦ ",anti,neutral
"hollywood leftwing fanatic, robert de niro, takes aim at trump and america as a backward country for its climate change pâ€¦",anti,anti
wrote up a report on how cities can protect poor people of color from the effects of climate change: ,pro,pro
remember when south park had an episode making fun of al gore for thinking climate change was real,neutral,pro
rt natgeo:these powerful photos show how people around the world are taking a stand against climate change:   #mycl…,pro,pro
"on #climate change, the government is already calculating the price of inaction  #cdnpoli #env350",pro,pro
"lawmakers did leave in several references to man-made climate change, which theyâ€™ve rejected the past two years:â€¦ ",neutral,pro
"is climate change real? debatable. if it is, can my super cum fix it? definitely.",neutral,neutral
"what an idiot, climate change to ask…",neutral,pro
"7-year-old olivia – knows climate change is real. 

why doesn't  nominee ? ",pro,pro
"my neighbors are bbqing and playing dominos outside.

global warming is bringing us together as a people.",neutral,neutral
"how to fix climate change: put cities in charge. 
coventry council must continue its drive in this area ",pro,pro
it looks like we$q$re going to go through this debate without a serious discussion on climate change via …,pro,pro
i pledge to urge u.s. leaders to maintain our momentum in the fight against global warming...  #globalcitizen,pro,pro
"guy who just flew 10,000 miles in a carbon-spewing jet to and from hawaii pivoting to concern about climate change. #sotu",anti,neutral
"“the challenges we face, like…..climate change..”.
oh, dear, theresa, was very good speech up to that point.
then you lost it.
#davos #wef17",pro,pro
eu. make smarter choices as a consumer to combat climate change.'  #climatechangeâ€¦ ,pro,pro
nancy pelosi: donald trump 'dishonoring' god in global warming decision - washington this twit agrees with abortion. ,anti,neutral
denying climate change is like denying that the earth is round. hopefully it doesn't take someone sailing off the edge to le…,pro,pro
"in complicated political times, it's up to the private sector to lead sustainability and respond to climate change. ",pro,pro
photo: hey look everyone: this is conservative’s attitude toward climate change looks like. and by the time... ,pro,pro
hey moron. 2017 was hottest on record. warming continues. stick your fat head in the sand but global warming is real.,pro,pro
seen this? we can still win the fight against climate change if we act now!  ,pro,pro
"partisan divides over 2018 priorities are especially wide when it comes to the environment, climate change and the militarâ€¦",pro,pro
did you know that all these things are causing global warming? how can you help us change this? #globalwarming #climate #jpsâ€¦,pro,pro
climate change is fraud - earths climate has changed 1000 times in last million years without range rovers,anti,anti
this climate change agenda is being sponsored by the very oil companies who they seek to harm - cap and trade taxation scam,anti,anti
you're quite the twat magnet. don't ever tweet about climate change - those nobbers really don't mind para… ,neutral,pro
"if you’re serious about climate change, you don’t encourage the excavation and transportation of some of the dirtiest oi…",pro,pro
do you believe in global warming? rt after voting,neutral,neutral
people who eat kfc or ribs with fork and knife are the reason we have global warming and wars on earth,neutral,neutral
"never mind the severe cold hitting the super bowl this year, or scientists lecturing us on global warming while theâ€¦ ",anti,neutral
nasa provides proof of climate change. i'm sure you could talk to them yourself. please do that. ,pro,anti
watching global warming in real-time from a nasa plane. #earthexpedition  ,pro,pro
$q$i never said climate change was a hoax.$q$ #debatenight ,neutral,neutral
the u.s. is about to get real cold again. blame it on global warming. ,pro,pro
let$q$s ask the event hosts: will the americas$q$ climate change summit have livestreaming video?   #ccca2016jalisco,neutral,neutral
climate reality: pursuit of climate change mitigation is seen as a function of adaptation. the post climate re... ,pro,pro
what if smash mouth's 'all star' is really about ... catastrophic climate change. ,neutral,neutral
'the concept of global warming was created by and for the chinese in order to make u.s. manufacturing non-competitiã¢â‚¬â¦,pro,pro
"people always talk about how asteroids or global warming, etc will destroy the earth when in reality, it's mankind doing all the damage",pro,neutral
"today climate change leaders launch mission 2020, including our film #2020dontbelate. watch live here from 4pm gmt:…",pro,pro
"'you're going to die of old age
i'll die of climate change
i just lost 40 years life expectancy'

",pro,pro
i knew global warming exists but now that i'm in iceland &amp; there's no snow around in december + forecast also looks…,pro,pro
action on climate change and sustainable development must be considered in tandem. new infographic:…,pro,pro
"#ivotedbecause i believe in equality, we need comprehensive immigration reform, i am pro-choice and global warming is real. #ã¢â‚¬â¦",pro,pro
speaking of climate change-tonight is another killer episode of  ! 10/9c on  ,pro,pro
"husband is scientist, knows climate change=faked data, but most scientists get $ from doe must go with 'party line' bs",anti,pro
adult me must concede that a major contributor to global warming was kid me leaving the front door open and heating the who…,neutral,neutral
"you know things are bad when exxon mobil (!) urges us gov't to do the right thing on climate change/carbon emissions
",pro,pro
we have a president-elect who doesn't believe in climate change. millions of people are going to have to say: mr. tã¢â‚¬â¦,pro,pro
"#futuregenerationproblems
#worldveganmonth

animal agriculture is a leading cause of climate change, deforestation…",pro,pro
"$q$we need our leaders to be brave &amp; their choices to be bold.$q$ video shown at #unga #action2015 climate change mtg.
",pro,pro
dozens of incredible kids at clarke middle school wrote letters to me about climate change – here's my message back…,pro,pro
nice to see the issue of climate change is being addressed by the government..... ,pro,pro
glacier photos illustrate climate change  ,pro,pro
"he obviously wrong, but to call him a ' climate change denier… ",neutral,pro
why solving #climate change will be like mobilizing for war  #globalwarming #actonclimate #divest,pro,pro
#foxnews #socialist_sen. who believes climate change has led to the rise of terrorism calls…  ,anti,anti
"qld environment minister, the hon steven miles, discussing the importance of acting on climate change #alpqconf ",pro,pro
"surprise next generation... we leave you with the disastrous effects of global warming and a world without bowie, phife, and prince.",pro,neutral
"when they're socially aware, care about bees, believe in global warming and climate change and support equal rights ",pro,pro
"at #arctic summit, #climate change is inevitable and irreversible   on ktoo ",pro,pro
how do you work for  and love the mountains? man made climate change is real and one visiâ€¦ ,pro,pro
"yeah, who cares about climate change? only every single person with a child. republicans in congress need to end this c…",pro,pro
"hurricane irma flooded levi draheim out of his school. now, he's suing the federal government over climate change as one of 21 youâ€¦",pro,pro
former canadian defense minister claims the illuminati is real and has technology to reverse climate change but wants to keeâ€¦,neutral,neutral
"i'm very concerned w/ the nomination of rick perry to lead the dept of energy w/ his past statements on climate change, ti…",pro,pro
"why do people act like technology is the worst thing to ever happen when racism, homophobia,global warming &amp; so man…",pro,pro
"as one region, we need to work towards a long-term legislative framework for action on climate change in asia-pacific reâ€¦",pro,pro
"#dyk that demographic change combined with climate change means that exposure to disaster risk is growing rapidly?

check outâ€¦",pro,pro
"china calls trump's plan to exit climate change pact ludicrous.
china!
let that sink in.
",pro,pro
unenjoyment line rt hermano_mouzone bill gates says that only socialism can save us from climate change ,neutral,anti
the freezing cold weather across the country is brutal. must be all that global warming.,anti,anti
lost / future worlds: impact of long-term climate change  early career researcher poster opp…,pro,pro
the most important action the u.s. has taken to address climate change is under threat  ,pro,pro
we have a president-elect who doesnã¢â‚¬â„¢t believe in climate change. thatã¢â‚¬â„¢s frightening for this country and the world.,pro,pro
"a cute thing i tell my kids is that because of global warming, santa is now floating on an iceburg just outside greenland.",neutral,neutral
people who believe in climate change also generally refuse to say that trans isn't real out loud so... you're no better.,neutral,pro
"funnily enough climate change isn't a hoax and won't only target blacks, mexicans, muslims, gays&amp;women.white men also m8ã°å¸â€™å¡",pro,pro
"if you're looking for good news about climate change, this is about the best there is right now - washington post ã¢â‚¬â¦ ",pro,pro
we will be the only developed nation in the world led by a climate change denier. ,pro,pro
i'll start the global warming and melt the ice caps with you!,neutral,neutral
15 ways to powerfully communicate climate change solutions: should campaigners be publishing in more local lan... ,pro,pro
"facing a warming planet, these organizers are offering their philly neighborhoods hope and solutions  via",pro,pro
"one of the clearest signs of climate change in hurricanes maria, irma, and harvey was the rain - vox #climatechange ",pro,pro
no other major political party in the entire world denies the existence and existential threat of climate change. ,pro,pro
it doesn't surprise me given the same in stance on climate change and science,neutral,neutral
the planet just had its hottest 4 years in recorded history. trump is dismantling efforts to fight climate change.â€¦ ,pro,pro
"dnc: $q$let$q$s talk about climate change.$q$

trump: $q$climate change is a hoax! you know what really changes? my opinions! p…",neutral,pro
the arctic is melting faster and some us politicians continue to be climate change deniers ,pro,pro
#climate #earth – climate change may not be that bad at all: carbon emissions may have delayed the next…  #science,anti,pro
"after black money, fake notes, terrorism, global warming, #demonetisation has reduced prostitution in india according t…",neutral,neutral
thank you todd stern for your service &amp; leadership on #climate! congratulations jonathan pershing! #actonclimate  ,pro,pro
we need the right kind of climate change! #feelthebern #climaterisk15 ,pro,pro
people who think there is a legitimate climate change debate mostly mean this ,neutral,neutral
noam chomsky: donald trump's election will accelerate global warming and humanity's 'race to disaster' | ,pro,pro
"trump says he will cancel billions of dollars to the un for global warming. 'by the way, no one knows what happens to thatã¢â‚¬â¦",neutral,neutral
rt   are you insinuating  is obcess woth his  change campaign? ,neutral,neutral
". boils down the basic facts surrounding climate change in 60 seconds:
",pro,pro
enough global warming is in the pipeline to melt all arctic sea ice in summer by 2030s ,pro,pro
is the iceberg that broke off antarctica the result of climate change? -  ,neutral,neutral
"photos: the holy landâ€™s most iconic bodies of water are drying up -- the result of climate change, population growth and agriculturâ€¦",pro,pro
global warming is effecting banana crops.,pro,pro
did he box him for approving taking down all global warming related info from gov pages?,neutral,neutral
"my mother posted this on fb just now.

shit like this is why she doesn't believe in climate change, either. ",neutral,pro
it's 40 degrees on a winter morning in utah but global warming is a conspiracy created by the chinese,pro,pro
"is climate change a hoax?
details:  ",neutral,pro
5 ways to teach about climate change in your classroom  ,pro,pro
. charts how uk wildlife calendar is reshuffled by #climate change  ,pro,pro
"on #earthday, a look back at those fighting the scientific establishment on climate change  ",pro,pro
denial isn’t just a river in egypt — and there’s no denying that climate change is likely hurting egypt’s economy ,pro,pro
. meets up with  at the un climate change confab in #marrakech #cop22... #maga ,neutral,neutral
snow in april? yeah global warming is real,anti,pro
i can't seem to find proof that global warming exists... ,anti,neutral
isn't leonardo dicaprio afraid that global warming will cause the ocean level to rise up and swamp his new beachfront proâ€¦,neutral,neutral
"disco tits by tove lo: playing
depression: cancelled
climate change: ended
war: finished
wig: off",neutral,neutral
"some manmade disasters have nothing to do with climate change. in gaza, life-threatening lack of drinkable water is…",neutral,pro
if you are not wanting to 'get political' consider this - trump's actions re: climate change will render this planeã¢â‚¬â¦,pro,pro
"steve bannon means bye bye to the climate change scheme we're spending $22,000,000,000 a year on for 'research'

",anti,anti
"physical f*cked, too. yay global warming! ðÿ¤¬",neutral,neutral
i clicked to stop global warming : ,pro,pro
"interviewer: 'what do you think about global warming?'
melania trump: 'hello... he's kind he's strong, he's a great... cã¢â‚¬â¦",neutral,neutral
team energy/climate change we should check this out #mcggovt     ,neutral,pro
"the survival of all life on the planet is threatened by climate change, the entire social safety net is being evisceratedâ€¦",pro,pro
wapo climate bedwetter jason samenow slams the great john coleman - 'colemanâ€™s stance on climate change was far out of steâ€¦,anti,pro
now i get why so many republicans deny climate change. rising ocean levels will submerge the clinton archipelago: ,pro,pro
dear god what a relief to have a leader say climate change is a fact. #justintrudeau  #yycchamber,pro,pro
it's absolutely disgusting how big of a problem climate change it yet nobody seems to give a fuck,pro,pro
i shut down an oil pipeline – because climate change is a ticking bomb | emily johnston ,pro,pro
"today, i joined members of the  to talk about the critical need to combat climate change and support clea…",pro,pro
the science of climate change is significantly a conflicting concern.,neutral,pro
"ya know, yt ppl idk if y'all are gonna really make it with this whole global warming &amp; sun exposure thing getting w…",neutral,neutral
coldest new years in the east on record. i think we could use a bit of global warming.,neutral,neutral
inspired by what  wrote on climate change. agree we have a moral responsibility to act to protect our kids and god$q$s cr…,pro,pro
"we've been waiting a long time, ! thanks for finally inviting #vegan to the climate change discussion! &gt;&gt;…",pro,pro
drilling for oil to cope with climate change - something is wrong with the thinking there! ,pro,pro
"if a climate change report falls in the white house, does anyone hear it? ",pro,neutral
"87% of scientists believe that climate change is mostly caused by human activity, while only 50% of the public does.",neutral,pro
"sen. wagner blames body heat, earth slow death spiral into sun for climate change ",pro,neutral
it's a fact: climate change made hurricane harvey more deadly | michael e mann ,pro,pro
global climate change is real,pro,pro
"mit atmospheric physicist &amp; climate change: what do scientists say?
",neutral,neutral
"so now you have national agencies, asked to delete tweets about inauguration crowd, climate change etc bcoz it doesn't fit trump's opinions",pro,pro
"there's an incredible, first-time candidate in houston putting urban planning and climate change adaptation at the center ofâ€¦",pro,pro
she's thinking about how she's going to die because your husband doesn't believe in climate change ,pro,pro
hrc proposes installing half a billion solar panels by the end of her first term. trump thinks climate change is a hoaxã¢â‚¬â¦,pro,pro
"this is awesome. thank you #mars
the world's largest chocolate maker pledges $1 billion to fight climate change ",pro,pro
surprising that  has not changed the content 'humans are largely responsible for recent climate change' yet.. ,neutral,neutral
she's thinking about how she's going to die because your husband doesn't believe in climate change ,pro,pro
questioning mark carney$q$s claims on climate change and carbon pricing - 2 new reports! ,anti,neutral
world leaders duped by manipulated global warming data  via,anti,anti
tomorrow  stadium . walk against climate change #lwtzewalk2015 cc    ,pro,pro
she's thinking about how she's going to die because your husband doesn't believe in climate change ,pro,pro
conservs can keep pretending climate change is a hoax but other countries arent gonna be putting up with it anymore. htã¢â‚¬â¦,pro,pro
"figueres win would mainstream climate change at un, writes :  ",neutral,neutral
andy jones  unite the union speaking at tuc conference about climate change ,neutral,neutral
"obama and kerry huddle to discuss global warming, transgender rights and what movie they can blame the latest terror attacks on",anti,neutral
we have a president-elect who doesn't believe in climate change. millions of people are going to have to say: mr. tã¢â‚¬â¦,pro,pro
msg guru ji encourage whole mankind 2plant tree 2save earth from global warming n above 5 millions ppl adopted it #msgdo…,pro,pro
"hmm, maybe some will be made up for by not throwing it at climate change. 1.3tr/yr? #backinblack",neutral,pro
what american workers know about climate change: it's real and we can fix it.  +  lay it down…,pro,pro
"speak up for climate change it is really happening. #climateedentry
 ",pro,pro
"sometimes, amongst all the angry posts, politics, global warming, and stress, you just need a picture of a mouse sl…",neutral,pro
donald trump thinks climate change is a hoax created by the chinese. unbelievable. #debatewithbernie ,pro,pro
record-breaking climate change pushes world into ‘uncharted territory’. 15mm sea level rise in 15 months. ,pro,pro
wow: ã¢â‚¬å“you and your friends will die of old age and iã¢â‚¬â„¢m going to die from climate change.ã¢â‚¬ï† ,pro,pro
the fact that it is going to be 80 degrees today and tomorrow makes me so sad and then reminds me of global warming which makesã¢â‚¬â¦,pro,pro
(1/3) great news: the appropriations committee voted today to fund the u.n. climate change panel. ,pro,pro
must be global warming,neutral,neutral
children's commitments include addressing climate change ,pro,pro
al gore offers to work with trump on climate change. good luck with that. - washington post ,pro,pro
new york city is suing â€œbig oilâ€ for damages due to imaginary climate change. sea level has been falling at manhattan foâ€¦,anti,anti
"climate change deniers, young earth creationists #madasaboxoffrogs ",pro,pro
"all terrorism is a threat, but what about climate change? do you expect people to listen to you with your record of…",neutral,anti
not bad it will give room for talks like brexit terrorism migrant crisis climate change etc&amp; how trump wants to sustain uk as an allie.,neutral,pro
#climate change is affecting not just their cuisine but also the assam culture  ,pro,pro
"watch #beforetheflood right here, as  travels the world to tackle climate change  httã¢â‚¬â¦",pro,pro
and well done  for tackling climate change challenge during your biggest moment. #oscars #oscars2016  ,pro,pro
taking on sa’s first climate change lawsuit #resist  ,pro,pro
she's thinking about how she's going to die because your husband doesn't believe in climate change ,pro,pro
don't forget global warming. this has the potential to destroy human civilisation as we know it. notâ€¦ ,pro,pro
#poweringccs: the  is critical for coordinating and driving global action on climate change:  #climate #cop21,pro,pro
assuming all the stein green party protest voters are watching pruitt deny the existence of man-made climate change with sm…,pro,anti
just don't get it. overwhelming support for #ssm climate change &amp; abc - yet they vote against their own wishes…,neutral,pro
"as irma prepares to lay waste to florida, epa head scott pruitt says it’s “insensitive” to discuss climate change ",pro,pro
"'here in fecalopolis, we're concerned about climate change.' 
'so are you banning cars and air conditioning'
'haha no i…",neutral,pro
typical february weather in norcal. no climate change here. ,anti,neutral
trump isn't going to do anything about climate change. he just wants to meet famous people like leo &amp; gates. these mee…,pro,pro
walls of fires in n ca. walls of water on the gulf coast. will we keep ignoring the obvious links to climate change? ,pro,pro
and if we wanted to stop global climate change. all that has to be done is spending global geo engâ€¦ ,anti,pro
"here's how to talk climate change to biomedical research, what's next for science.",pro,pro
here's how climate change will affect sea level rise (and flood cities) as the world warms ,pro,pro
join the millions of people around the globe switching off their lights and making noise for climate change action:…,pro,pro
"i still can't wrap my head around the fact that so many people that will run this country, don't believe in climate change.",pro,pro
because you're not yet sure about climate change ...a week should allow you to learn enough to do what you have to do.,pro,pro
tv weathercasters are key to helping convince people that climate change is real  ,pro,pro
"before i go to bed:

if you think flag burning is a bigger issue than refuting scientific evidence of climate change, you neã¢â‚¬â¦",pro,pro
let's look on the bright side. maybe climate change will kill off humanity before a global fascist government can start tã¢â‚¬â¦,pro,pro
"these are varves, meaning annual layers of lake sediment showing the seasonal climate change like tree rings do. each layer oâ€¦",pro,neutral
worth noting - american gop is the only major party in the oecd that denies climate change. #usexceptionalism ,pro,pro
itâ€™s global climate change. ask the masai mara or the canadian indigenous and northern communities about it to getâ€¦ ,pro,neutral
if global warming isn't real why did club penguin shut down,neutral,neutral
i wonder how much money al gore has md promoting climate change hysteria n the past 10 years. must b nice 2 mk $ off weather,anti,anti
"deposited note of acceptance to reduce emissions air pollutants.
healthier environment, countering climate change.…",pro,pro
unhcr. some factors increasing the risk of violent conflict within states are sensible to climate change.'â€¦ ,pro,pro
